,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[8116676]],[[31250432]],[675551.5523553501],[35125607.91164097],[34981149.39339771],[77089323.17546937],[149691954.99830136],[1746537026.1316974],[5915776379.45344],[6614674780.471152],[149664350.0747144],[0.01923245155086599],[0.0857078623347856],[0.4537742446353334],[0.8943412300358127]
1,1,[[8067520]],[[31262720]],[770282.0144240059],[34750498.74420189],[34609060.73413113],[75771855.96446066],[147897175.94172564],[1732459745.6703854],[5868330173.849863],[6593811956.542364],[147869478.0159293],[0.02216607076905701],[0.08536831883761661],[0.4567535042346574],[0.8899753606147837]
2,2,[[7887243]],[[31170560]],[1173800.6514527802],[33903398.79044024],[33760712.80352139],[75757479.68256491],[146633365.4873748],[1705776734.6652424],[5779081569.9949255],[6586439954.65717],[146606712.0782733],[0.03462191677914479],[0.08596281242876226],[0.4456419741652413],[0.8774211273130375]
3,3,[[7573536]],[[23093248]],[1738270.9718329492],[33039583.091224745],[32895972.01146988],[72515192.61171547],[140968765.79616937],[1667523439.3140757],[5650122479.5823345],[6601495489.919921],[140942743.12887913],[0.05261177076700556],[0.08453780167201481],[0.4536424827223757],[0.8558852290681294]
4,4,[[7006423]],[[13015040]],[2846362.274631339],[31119056.10190569],[30980811.78299843],[66981584.040520206],[131071781.98994131],[1594193577.8246462],[5403516276.70976],[6622756502.273857],[131048844.03916712],[0.09146685764858503],[0.0822182348575228],[0.4625273084652153],[0.8159013961715966]
5,5,[[7880423]],[[31258624]],[1096509.680936538],[35036475.2200709],[34889596.23331304],[74701992.21553643],[145279199.09739155],[1702628215.2619312],[5767677186.136555],[6572421965.692748],[145251638.66390386],[0.03129623268462789],[0.08532643697264343],[0.46705041189057794],[0.8775573473893088]
6,6,[[7800640]],[[31240192]],[1247083.9867424504],[34831538.763193704],[34684442.96713054],[73547122.06626016],[143995187.75357774],[1700582478.8601131],[5760592089.376301],[6606102455.864928],[143967385.15553555],[0.035803298706407916],[0.08467403936214642],[0.47159483597308666],[0.8720107094709105]
7,7,[[7562596]],[[31141888]],[1764725.3680686299],[33844220.23645429],[33695230.67117034],[71446450.03013846],[139880959.78205025],[1673785642.6570399],[5671890899.578931],[6630737901.460326],[139856066.32835212],[0.05214259202130497],[0.083571609301175],[0.47161518391685775],[0.8553936204188944]
8,8,[[7190831]],[[23097344]],[2457535.287100684],[32548745.634551033],[32401324.918145627],[68717944.02472675],[134474533.7295304],[1621332427.37418],[5494458126.498606],[6614166878.94229],[134450059.14964575],[0.07550322567552248],[0.08294075382635618],[0.47151185004147783],[0.8307105380106854]
9,9,[[6623072]],[[13015040]],[3501251.0383160813],[30080863.828251086],[29938331.73760942],[64268376.895203725],[126305367.07653177],[1541778140.357221],[5226494560.668041],[6618663152.543116],[126281270.16139522],[0.11639463076282426],[0.08192188212453677],[0.46583301436765684],[0.7896601534495443]
10,10,[[7014899]],[[31236096]],[2770996.83100705],[31572995.304008428],[31427810.528702777],[68525287.32638414],[133924762.85310683],[1585837228.2205868],[5374090075.44557],[6567347409.335387],[133900849.74379069],[0.08776477506571101],[0.08445051009641083],[0.45863084643502394],[0.8183045209099766]
11,11,[[6942288]],[[31246336]],[2937418.4170054197],[31774076.872648496],[31631628.816034462],[66613769.5791641],[130573049.22011778],[1589547882.5122542],[5388571755.830102],[6608881184.796248],[130550018.02417386],[0.09244701046008938],[0.08214477252094428],[0.4748512059273765],[0.8153530991337123]
12,12,[[6718116]],[[31158272]],[3343334.431343775],[30520760.172265794],[30373804.69099144],[65194146.07071984],[127028817.63825358],[1549692354.2020302],[5253688945.629294],[6549584869.545842],[127004629.7194115],[0.10954296067572596],[0.08197034546489936],[0.4658977304195875],[0.8021407539976794]
13,13,[[6384347]],[[23095296]],[4033575.4578944347],[29574052.74517713],[29431141.578650203],[62400078.10432282],[122720989.95505607],[1510090690.9054062],[5120476075.518985],[6587929901.406322],[122698819.382801],[0.1363889992572026],[0.0812672978478373],[0.4716523195603394],[0.7772511475002064]
14,14,[[5876252]],[[13019136]],[4905325.983924961],[27503538.2076466],[27360026.53413957],[57823346.567639954],[114417203.66729961],[1445465149.471782],[4902199596.63321],[6600573660.717409],[114397168.10047738],[0.17835254311247745],[0.07915597529910093],[0.4731657394152146],[0.7426929610388433]
15,15,[[5950560]],[[31256576]],[5083430.914907279],[27686946.50664442],[27545560.40050232],[58971841.97860631],[116253064.65121624],[1455866647.9821594],[4938056387.382679],[6605573945.30492],[116232163.41971326],[0.18360388400675887],[0.07985145123857583],[0.4670968292035925],[0.747559020347131]
16,16,[[5914087]],[[31246336]],[5084503.031524669],[27472177.67005705],[27329234.155378696],[57458403.23182092],[114178093.90255016],[1452088667.9909415],[4924892363.282879],[6587461848.484815],[114157966.66088782],[0.1850782669138915],[0.07863024925366502],[0.47563511372072986],[0.7476160737713655]
17,17,[[5774300]],[[31158272]],[5438263.631327326],[26853815.018836737],[26703814.788060635],[57501974.155327596],[113112632.83414626],[1438729965.46418],[4880879032.737141],[6613448398.0001335],[113092901.40879238],[0.20251363270033068],[0.0786197796315812],[0.46439822597962943],[0.7380233032759564]
18,18,[[5516304]],[[23107584]],[5948120.388330557],[25809404.72303689],[25658653.32562266],[55784478.57289048],[109389276.46592987],[1399655883.1390102],[4749684943.419281],[6622123047.983457],[109368669.11538486],[0.2304632924377911],[0.07815440765383158],[0.45996044028799016],[0.7172450449807991]
19,19,[[5241064]],[[13027328]],[6483527.746264486],[24961673.48985928],[24818509.790150102],[54141066.89460989],[105297048.76044935],[1355378721.0652747],[4599232238.80115],[6622577585.274303],[105276704.0304934],[0.25973930589623445],[0.07768828529172274],[0.45840452014847444],[0.6944776681858462]
20,20,[[5352272]],[[31260672]],[6355224.618967569],[25093057.804867327],[24942767.00911304],[54327871.65008358],[106812864.72790167],[1381120567.8098125],[4686630934.043943],[6604504868.269778],[106794023.63681787],[0.25326624871261566],[0.07733782786052198],[0.45911548256050017],[0.7096112467961172]
21,21,[[5340943]],[[31244288]],[6396960.676937809],[25055302.152183294],[24913089.314346183],[54491990.494608186],[106445791.5991292],[1381116112.0664036],[4686690930.470069],[6617836598.736007],[106427004.75466059],[0.2553136513015623],[0.07707229730298833],[0.45718809476800554],[0.7081907902297282]
22,22,[[5222409]],[[31164416]],[6607416.4113000445],[24025585.88391446],[23884586.546449024],[51737465.28312281],[102811236.32713097],[1353006063.9388945],[4592334135.933099],[6559543029.981647],[102791355.11822946],[0.2750158286763705],[0.07598726943456938],[0.46164972357546813],[0.7000997043457078]
23,23,[[5033025]],[[23111680]],[7016341.578268924],[23716588.50083987],[23584731.49969095],[53363936.08652172],[102994119.30415617],[1320272969.5341928],[4481294145.272978],[6541585465.863997],[102974479.03238976],[0.29584109780462126],[0.07800971593055765],[0.4419601181864059],[0.6850470988505382]
24,24,[[4821484]],[[13021184]],[7473780.705112213],[23022565.776266824],[22885699.756660607],[48734805.2717078],[96000587.18753026],[1296735502.6973233],[4401861918.10127],[6591650529.35701],[95984371.56503992],[0.32462848744759276],[0.07403251240352457],[0.4695966184550762],[0.6677935819711386]
25,25,[[5069288]],[[31021056]],[6982831.525799337],[23871666.097966243],[23732805.970049545],[52461573.14238594],[102733096.74001691],[1344303027.4057198],[4563133484.953998],[6611364113.795041],[102714099.95605491],[0.29251546570493636],[0.07642108560766588],[0.4523845654730243],[0.6901954583673168]
26,26,[[5026815]],[[31246336]],[7013412.980815266],[23370535.26786334],[23229647.11794804],[50638363.8890151],[100682657.09533039],[1335478136.9731202],[4533700649.156269],[6586513489.39711],[100664151.08303219],[0.300096377786407],[0.07539071910494097],[0.45873613074981695],[0.6883308834718954]
27,27,[[4943467]],[[31145984]],[7344811.28078387],[23227505.66393508],[23087738.48538402],[49741165.91970195],[98384634.10239814],[1322278442.1888897],[4489277891.835819],[6596193202.536824],[98367210.22584848],[0.31621179592210896],[0.07440538313513828],[0.46415756563999666],[0.6805861735689143]
28,28,[[4790024]],[[23105536]],[7690890.679412261],[22638375.54452136],[22496840.642060887],[48341142.06808144],[95826203.61555877],[1289901476.2242928],[4380649055.425002],[6561665241.975511],[95807958.99116898],[0.3397280279358873],[0.07428955263781414],[0.4653766890814738],[0.6676123962255238]
29,29,[[4583256]],[[13027328]],[8106806.662093685],[22046204.73602821],[21907881.53505744],[46895965.19775168],[92774368.27323014],[1265497759.5942707],[4296781719.282184],[6606011190.7507105],[92757609.62078325],[0.36771892301469156],[0.0733105748863391],[0.46715919893483215],[0.6504351257076655]
30,30,[[4905659]],[[31254528]],[7290950.418648013],[22920931.24051187],[22785277.692387383],[51107106.82782268],[100257894.86705823],[1321669783.9958065],[4487024549.660582],[6595207575.671063],[100239731.99671479],[0.31809136994231446],[0.0758569924810934],[0.4458338400792254],[0.6803462208244486]
31,31,[[4899108]],[[31201280]],[7355651.702688713],[23129233.581925035],[22990001.26135014],[49677935.33010566],[98161033.49837095],[1327215835.8539631],[4506352842.829391],[6622918262.439268],[98143487.0879693],[0.318024013923098],[0.073960113228465],[0.46278093299537376],[0.6804180067246773]
32,32,[[4821382]],[[31148032]],[7566806.469290419],[22717229.840651866],[22574048.075710513],[49893782.5461732],[98039319.49391717],[1308857974.5559928],[4444267135.563428],[6595310089.017422],[98018835.38018584],[0.33308667132247893],[0.07490447504602268],[0.4524421064853083],[0.6738526431022656]
33,33,[[4648796]],[[23105536]],[7965795.482982219],[22301811.71126244],[22157673.404657897],[47853950.21808982],[94478486.08431107],[1284601389.0686505],[4363226840.535397],[6598086514.914512],[94461858.34832524],[0.3571815413973513],[0.07354692816641664],[0.4630270500904609],[0.6612866973891034]
34,34,[[4498522]],[[13021184]],[8363677.481308217],[21632073.7437479],[21490596.953437574],[45418032.76634111],[90210539.41960032],[1254340292.6654608],[4259867870.188939],[6609810164.443783],[90194883.9577235],[0.3866331809138496],[0.07191871292590292],[0.4731732231556286],[0.6444765831708887]
